City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
682,Dunedin,NZ,-45.8742,170.5036,50.81,63,96,11.01,overcast clouds
683,Privas,FR,44.5833,4.5,74.44,79,19,4.68,few clouds
684,Karatau,KZ,43.1667,70.4667,72.27,34,0,4.85,clear sky
685,Hashtgerd,IR,35.9642,50.6858,85.84,19,70,7.83,broken clouds
686,Breves,BR,-1.6822,-50.4803,75.43,91,53,5.08,broken clouds
687,Seara,PT,41.1818,-7.8003,62.96,75,0,3.49,clear sky
688,Bani,DO,18.2833,-70.3333,85.75,69,19,11.95,few clouds
689,Raudeberg,NO,61.9875,5.1352,55.2,83,70,12.03,broken clouds
690,Grand Gaube,MU,-20.0064,57.6608,68.4,67,72,24.27,light rain
691,Zhuhai,CN,22.2769,113.5678,83.05,94,40,6.91,scattered clouds
692,Pacific Grove,US,36.6177,-121.9166,92.16,76,1,4.0,clear sky
693,Kano,NG,12.0001,8.5167,80.49,69,0,6.91,light rain
694,Severobaykalsk,RU,55.65,109.3167,59.5,62,4,1.23,clear sky
