City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
603,Lachi,PK,77.54,broken clouds,33.3833,71.3386,Stil sadabahar
605,Fort Walton Beach,US,88.56,clear sky,30.4058,-86.6188,Best Western Ft. Walton Beachfront
607,Ishigaki,JP,82.53,light intensity shower rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
609,Sai Buri,TH,77.49,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
614,Huzhou,CN,79.41,few clouds,30.8703,120.0933,Huzhou Plaza Hotel
616,Daru,PG,79.59,broken clouds,-9.0763,143.2092,Daru Lodge
620,Bud,US,81.7,broken clouds,39.447,-86.1758,Ted McQuinn Trust
628,Chapel Hill,US,87.39,clear sky,35.9132,-79.0558,The Carolina Inn
631,Barreirinhas,BR,77.45,few clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
632,Lao Cai,VN,76.64,overcast clouds,22.4833,103.95,Legend Hotel
633,Celestun,MX,84.92,scattered clouds,20.8667,-90.4,Posada Lilia
637,Cozumel,MX,86.95,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
638,Seoul,KR,85.57,clear sky,37.5683,126.9778,롯데호텔 서울
639,Coahuayana,MX,87.57,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
648,Bandarbeyla,SO,78.53,scattered clouds,9.4942,50.8122,JABIR HOTEL
650,Dawei,MM,78.22,overcast clouds,14.0833,98.2,Hotel Dawei
651,Contai,IN,81.54,overcast clouds,21.7786,87.7536,PATHFINDER
653,Lodwar,KE,79.81,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
654,Hobyo,SO,77.36,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
658,Seydi,TM,82.67,clear sky,39.4816,62.9137,Seydi oteli
662,Madhupur,IN,80.46,overcast clouds,24.25,86.65,Hotel Kumar International
665,Vinh,VN,78.64,light rain,18.6667,105.6667,Khách Sạn Thương Mại
666,Racine,US,76.1,overcast clouds,42.7495,-88.0751,Tiny hooves
668,Mogadishu,SO,76.64,light rain,2.0371,45.3438,Hotel Juba
680,Urla,TR,82.8,clear sky,38.3229,26.764,ulice Restaurant & Cafe & Butik Otel
681,Zhangye,CN,75.65,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
685,Hashtgerd,IR,85.84,broken clouds,35.9642,50.6858,Parse System
686,Breves,BR,75.43,broken clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
688,Bani,DO,85.75,few clouds,18.2833,-70.3333,Hospedaje Henriquez
691,Zhuhai,CN,83.05,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
693,Kano,NG,80.49,light rain,12.0001,8.5167,Havana Guest Inn
696,Labuhan,ID,75.96,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
699,Suez,EG,77.02,clear sky,29.9737,32.5263,Green House
